int1,int2,int3,int4,int5,target_sum,subset_exists
12,1,12,13,23,42,0
14,28,22,10,4,3,0
24,8,14,11,14,59,0
24,5,20,11,28,39,1
28,12,3,27,21,58,1
7,18,26,18,24,30,0
6,27,26,11,8,5,0
10,5,5,24,10,50,0
12,6,26,3,3,50,1
17,30,5,14,8,55,1
11,19,14,10,23,2,0
23,25,23,27,13,70,0
27,24,13,28,22,81,0
27,23,9,17,7,37,0
9,15,16,9,7,54,0
25,27,4,19,28,53,1
10,7,1,15,21,47,1
15,6,20,13,10,35,1
30,3,10,27,29,53,0
4,18,5,16,28,23,1
6,1,5,14,1,23,0
26,9,15,14,3,25,0
16,3,13,1,23,7,0
16,22,5,7,4,49,1
12,14,16,2,13,25,1
5,1,4,9,13,19,1
22,20,18,13,15,66,1
14,3,1,18,3,6,1
28,18,2,17,6,41,1
10,1,4,8,18,29,1
23,24,3,11,25,83,1
8,15,10,9,28,40,0
29,25,18,13,22,17,0
14,13,5,10,5,35,0
9,22,1,4,16,27,1
16,9,8,4,8,37,1
14,14,17,27,15,34,0
25,22,4,16,1,54,0
6,22,21,24,30,24,1
19,19,20,29,21,48,1
11,26,19,4,3,11,1
24,22,22,4,10,29,0
21,11,5,29,27,15,0
22,18,18,26,5,80,0
20,11,6,9,20,60,1
25,28,9,18,22,82,0
24,28,5,5,17,9,0
11,4,30,14,15,25,1
6,17,26,20,19,68,1
7,1,26,6,20,58,0
30,28,2,20,10,43,0
6,30,9,14,19,28,1
23,19,5,13,10,9,0
7,29,11,6,28,36,1
13,20,22,4,21,80,1
22,24,14,5,16,54,1
12,20,1,15,9,11,0
18,24,28,17,24,111,1
8,12,25,27,28,66,0
21,13,22,9,16,8,0
19,19,5,28,30,90,0
8,9,8,4,6,7,0
23,1,8,6,5,24,1
17,26,9,10,5,55,0
15,25,8,5,10,24,0
12,17,23,7,12,28,0
4,29,15,7,1,44,1
14,12,18,4,27,22,1
1,7,14,16,24,32,1
9,16,29,5,19,38,1
8,20,21,27,4,25,1
3,20,14,30,6,1,0
25,16,23,2,9,59,1
21,6,22,4,17,26,1
16,24,1,14,9,53,0
13,30,13,17,17,52,0
9,2,22,16,23,27,1
3,28,2,25,18,15,0
22,27,14,18,29,32,1
2,13,7,23,7,51,0
21,4,10,20,17,28,0
17,9,15,20,14,60,1
12,26,22,22,3,5,0
7,13,30,13,19,29,0
19,9,4,4,19,17,1
25,7,3,9,27,22,0
27,5,6,10,25,20,0
11,6,27,9,27,56,0
26,12,10,12,21,53,0
12,13,11,14,29,73,0
24,6,7,28,13,6,1
17,12,29,6,20,47,1
